jobtitle,joblocation,jobsalary,jobsummary
Data Scientist,"New York, NY","$140,000 - $190,000 a year","Quick note: We value curiosity over pedigree here. 

--- THE ROLE ---
We're looking for a Data Scientist to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Explain math to business folks * Scale our ML infrastructure 
Heavy focus on SQL and Scikit-learn; we're practical about AI. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require"
Sr. Data Scientist,"San Francisco, CA","From $150,000","Are you tired of big corporate red tape? We are too. 

--- THE ROLE ---
We're looking for a Sr. Data Scientist to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Wrangle messy data * Scale our ML infrastructure 
We use PyTorch for most things, but we're open to whatever gets the job done. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building even"
Sr. Data Scientist,"Austin, TX",$115k - $160k,"Looking for a builder, not just a researcher. 

--- THE ROLE ---
We're looking for a Sr. Data Scientist to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Build models that actually work * Mentor the junior staff 
Stack: GCP, BigQuery, Looker, and some legacy Airflow. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better in"
Staff AI Scientist,"Chicago, IL",$115k - $160k,"Looking for a builder, not just a researcher. 

--- THE ROLE ---
We're looking for a Staff AI Scientist to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Build models that actually work * Optimize SQL queries 
We use PyTorch for most things, but we're open to whatever gets the job done. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and q"
Machine Learning Engineer (Remote),Remote,NaN,"We're growing fast and need someone to hit the ground running. 

--- THE ROLE ---
We're looking for a Machine Learning Engineer (Remote) to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Build models that actually work * Mentor the junior staff 
We use PyTorch for most things, but we're open to whatever gets the job done. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employme"
Sr. Data Scientist,"Boston, MA","$140,000 - $190,000 a year","We're growing fast and need someone to hit the ground running. 

--- THE ROLE ---
We're looking for a Sr. Data Scientist to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Explain math to business folks * Mentor the junior staff 
We use PyTorch for most things, but we're open to whatever gets the job done. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consi"
Data Analytics Manager,"Chicago, IL",NaN,"Looking for a builder, not just a researcher. 

--- THE ROLE ---
We're looking for a Data Analytics Manager to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Wrangle messy data * Mentor the junior staff 
Stack: GCP, BigQuery, Looker, and some legacy Airflow. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional t"
Data Analytics Manager,"Boston, MA",$115k - $160k,"We're growing fast and need someone to hit the ground running. 

--- THE ROLE ---
We're looking for a Data Analytics Manager to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Explain math to business folks * Optimize SQL queries 
Stack: GCP, BigQuery, Looker, and some legacy Airflow. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-build"
DATA ANALYTICS MANAGER,"Boston, MA",Competitive,"Looking for a builder, not just a researcher. 

--- THE ROLE ---
We're looking for a DATA ANALYTICS MANAGER to join the data team. You'll report to the VP of Engineering. 

What you'll actually do: * Explain math to business folks * Optimize SQL queries 
Our stack: Python, AWS (SageMaker), Snowflake, and dbt. 

About you: You've been doing this for 3-5 years. You know that 'perfect' is the enemy of 'shipped'. You're comfortable with a terminal and aren't afraid of a little refactoring.We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. If you need a reasonable accommodation during the application process, please let our HR team know. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. If you need a reasonable accommodation during the application process, please let our HR team know. If you need a reasonable accommodation during the application process, please let our HR team know. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. Please note that this role may require occasional travel to our headquarters for team-building events and quarterly planning sessions. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Our commitment to diversity is central to our mission. We believe that a variety of backgrounds and perspectives leads to better innovation and better products. We are an equal opportunity employer and value a 'can-do' attitude over everything else. Qualified applicants will receive consideration for emp"
